"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 17 15:57:12 GMT 2025","Thu Jul 17 15:57:12 GMT 2025","141","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticlesSchema","Validate Articles Schema",""
"passed","Thu Jul 17 15:57:11 GMT 2025","Thu Jul 17 15:57:11 GMT 2025","0","","api.APITests","","api.APITests","passedNumericTest","Passed numeric test",""
"passed","Thu Jul 17 15:57:11 GMT 2025","Thu Jul 17 15:57:11 GMT 2025","219","","api.APITests","","api.APITests","verifyFirstTagInTheTagEndpoint","First tag is named Test",""
"passed","Thu Jul 17 15:57:08 GMT 2025","Thu Jul 17 15:57:08 GMT 2025","391","","api.APITests","","api.APITests","printingAllTheArticles","Printing all the articles",""
"passed","Thu Jul 17 15:57:10 GMT 2025","Thu Jul 17 15:57:11 GMT 2025","172","","api.APITests","","api.APITests","verityArticlesLimit","Verify articles limit return correct amount of articles",""
"failed","Thu Jul 17 15:57:10 GMT 2025","Thu Jul 17 15:57:10 GMT 2025","438","","api.APITests","","api.APITests","verifyArticlesCountProperty","Verify 'articlesCount' property is correct",""
"passed","Thu Jul 17 15:57:12 GMT 2025","Thu Jul 17 15:57:17 GMT 2025","5028","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateTagsFromUIWithApi","Verify the tags from main UI are the same from API",""
"passed","Thu Jul 17 15:57:04 GMT 2025","Thu Jul 17 15:57:07 GMT 2025","3174","","api.APITests","","api.APITests","validateStatusCodeForTagsIs200","Verify status code for tags is 200",""
"passed","Thu Jul 17 15:57:19 GMT 2025","Thu Jul 17 15:57:22 GMT 2025","2828","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","loginViaAPIAndCheckUsername","Login via API and check username",""
"passed","Thu Jul 17 15:57:24 GMT 2025","Thu Jul 17 15:57:49 GMT 2025","24702","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","createArticleViaAPIAndCheckItOnUI","Create an article via API and Check it on the UI",""
"passed","Thu Jul 17 15:57:12 GMT 2025","Thu Jul 17 15:57:12 GMT 2025","172","","api.SchemaValidationTests","","api.SchemaValidationTests","validateTagsSchema","Validate Tags Schema",""
"passed","Thu Jul 17 15:57:22 GMT 2025","Thu Jul 17 15:57:24 GMT 2025","2288","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateMainPageTitle","Verify the main page title is correct",""
"failed","Thu Jul 17 15:57:17 GMT 2025","Thu Jul 17 15:57:19 GMT 2025","2011","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","failTestMustTakeScreenshot","Failed test, must take screenshot",""
"passed","Thu Jul 17 15:57:08 GMT 2025","Thu Jul 17 15:57:10 GMT 2025","1909","","api.APITests","","api.APITests","updateArticleTitle","Update article title",""
"failed","Thu Jul 17 15:57:11 GMT 2025","Thu Jul 17 15:57:12 GMT 2025","947","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticleSchemaShouldFail","Validate Article against Wrong Schema",""
