"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 17 15:39:01 GMT 2025","Thu Jul 17 15:39:07 GMT 2025","5416","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateTagsFromUIWithApi","Verify the tags from main UI are the same from API",""
"passed","Thu Jul 17 15:39:09 GMT 2025","Thu Jul 17 15:39:12 GMT 2025","2761","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","loginViaAPIAndCheckUsername","Login via API and check username",""
"passed","Thu Jul 17 15:39:00 GMT 2025","Thu Jul 17 15:39:00 GMT 2025","0","","api.APITests","","api.APITests","passedNumericTest","Passed numeric test",""
"passed","Thu Jul 17 15:38:57 GMT 2025","Thu Jul 17 15:38:59 GMT 2025","2004","","api.APITests","","api.APITests","updateArticleTitle","Update article title",""
"failed","Thu Jul 17 15:39:00 GMT 2025","Thu Jul 17 15:39:01 GMT 2025","844","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticleSchemaShouldFail","Validate Article against Wrong Schema",""
"passed","Thu Jul 17 15:38:54 GMT 2025","Thu Jul 17 15:38:57 GMT 2025","3293","","api.APITests","","api.APITests","validateStatusCodeForTagsIs200","Verify status code for tags is 200",""
"passed","Thu Jul 17 15:39:00 GMT 2025","Thu Jul 17 15:39:00 GMT 2025","250","","api.APITests","","api.APITests","verifyFirstTagInTheTagEndpoint","First tag is named Test",""
"passed","Thu Jul 17 15:39:01 GMT 2025","Thu Jul 17 15:39:01 GMT 2025","156","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticlesSchema","Validate Articles Schema",""
"failed","Thu Jul 17 15:39:07 GMT 2025","Thu Jul 17 15:39:09 GMT 2025","2024","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","failTestMustTakeScreenshot","Failed test, must take screenshot",""
"passed","Thu Jul 17 15:38:57 GMT 2025","Thu Jul 17 15:38:57 GMT 2025","203","","api.APITests","","api.APITests","printingAllTheArticles","Printing all the articles",""
"failed","Thu Jul 17 15:38:59 GMT 2025","Thu Jul 17 15:39:00 GMT 2025","422","","api.APITests","","api.APITests","verifyArticlesCountProperty","Verify 'articlesCount' property is correct",""
"passed","Thu Jul 17 15:39:01 GMT 2025","Thu Jul 17 15:39:01 GMT 2025","156","","api.SchemaValidationTests","","api.SchemaValidationTests","validateTagsSchema","Validate Tags Schema",""
"passed","Thu Jul 17 15:39:14 GMT 2025","Thu Jul 17 15:39:39 GMT 2025","24956","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","createArticleViaAPIAndCheckItOnUI","Create an article via API and Check it on the UI",""
"passed","Thu Jul 17 15:39:00 GMT 2025","Thu Jul 17 15:39:00 GMT 2025","172","","api.APITests","","api.APITests","verityArticlesLimit","Verify articles limit return correct amount of articles",""
"passed","Thu Jul 17 15:39:12 GMT 2025","Thu Jul 17 15:39:14 GMT 2025","2294","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateMainPageTitle","Verify the main page title is correct",""
