"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 16 19:25:32 GMT 2025","Wed Jul 16 19:25:34 GMT 2025","2121","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","failTestMustTakeScreenshot","Failed test, must take screenshot",""
"passed","Wed Jul 16 19:25:23 GMT 2025","Wed Jul 16 19:25:23 GMT 2025","470","","api.APITests","","api.APITests","printingAllTheArticles","Printing all the articles",""
"passed","Wed Jul 16 19:25:26 GMT 2025","Wed Jul 16 19:25:26 GMT 2025","156","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticlesSchema","Validate Articles Schema",""
"passed","Wed Jul 16 19:25:25 GMT 2025","Wed Jul 16 19:25:25 GMT 2025","239","","api.APITests","","api.APITests","verifyFirstTagInTheTagEndpoint","First tag is named Test",""
"passed","Wed Jul 16 19:25:25 GMT 2025","Wed Jul 16 19:25:25 GMT 2025","172","","api.APITests","","api.APITests","verityArticlesLimit","Verify articles limit return correct amount of articles",""
"passed","Wed Jul 16 19:25:19 GMT 2025","Wed Jul 16 19:25:23 GMT 2025","3516","","api.APITests","","api.APITests","validateStatusCodeForTagsIs200","Verify status code for tags is 200",""
"passed","Wed Jul 16 19:25:34 GMT 2025","Wed Jul 16 19:25:37 GMT 2025","3039","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","loginViaAPIAndCheckUsername","Login via API and check username",""
"passed","Wed Jul 16 19:25:37 GMT 2025","Wed Jul 16 19:25:40 GMT 2025","2382","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateMainPageTitle","Verify the main page title is correct",""
"passed","Wed Jul 16 19:25:40 GMT 2025","Wed Jul 16 19:26:05 GMT 2025","25226","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","createArticleViaAPIAndCheckItOnUI","Create an article via API and Check it on the UI",""
"passed","Wed Jul 16 19:25:25 GMT 2025","Wed Jul 16 19:25:25 GMT 2025","0","","api.APITests","","api.APITests","passedNumericTest","Passed numeric test",""
"failed","Wed Jul 16 19:25:23 GMT 2025","Wed Jul 16 19:25:25 GMT 2025","1485","","api.APITests","","api.APITests","verifyArticlesCountProperty","Verify 'articlesCount' property is correct",""
"failed","Wed Jul 16 19:25:25 GMT 2025","Wed Jul 16 19:25:26 GMT 2025","687","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticleSchemaShouldFail","Validate Article against Wrong Schema",""
"passed","Wed Jul 16 19:25:26 GMT 2025","Wed Jul 16 19:25:32 GMT 2025","5786","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateTagsFromUIWithApi","Verify the tags from main UI are the same from API",""
"passed","Wed Jul 16 19:25:26 GMT 2025","Wed Jul 16 19:25:26 GMT 2025","204","","api.SchemaValidationTests","","api.SchemaValidationTests","validateTagsSchema","Validate Tags Schema",""
