"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 15:01:50 GMT 2025","Wed Jul 16 15:02:15 GMT 2025","25227","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","createArticleViaAPIAndCheckItOnUI","Create an article via API and Check it on the UI",""
"passed","Wed Jul 16 15:01:37 GMT 2025","Wed Jul 16 15:01:42 GMT 2025","5443","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateTagsFromUIWithApi","Verify the tags from main UI are the same from API",""
"passed","Wed Jul 16 15:01:35 GMT 2025","Wed Jul 16 15:01:36 GMT 2025","250","","api.APITests","","api.APITests","verifyFirstTagInTheTagEndpoint","First tag is named Test",""
"passed","Wed Jul 16 15:01:33 GMT 2025","Wed Jul 16 15:01:33 GMT 2025","454","","api.APITests","","api.APITests","printingAllTheArticles","Printing all the articles",""
"passed","Wed Jul 16 15:01:35 GMT 2025","Wed Jul 16 15:01:35 GMT 2025","501","","api.APITests","","api.APITests","verityArticlesLimit","Verify articles limit return correct amount of articles",""
"passed","Wed Jul 16 15:01:47 GMT 2025","Wed Jul 16 15:01:50 GMT 2025","2451","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateMainPageTitle","Verify the main page title is correct",""
"passed","Wed Jul 16 15:01:35 GMT 2025","Wed Jul 16 15:01:35 GMT 2025","0","","api.APITests","","api.APITests","passedNumericTest","Passed numeric test",""
"passed","Wed Jul 16 15:01:28 GMT 2025","Wed Jul 16 15:01:33 GMT 2025","4416","","api.APITests","","api.APITests","validateStatusCodeForTagsIs200","Verify status code for tags is 200",""
"failed","Wed Jul 16 15:01:42 GMT 2025","Wed Jul 16 15:01:44 GMT 2025","2057","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","failTestMustTakeScreenshot","Failed test, must take screenshot",""
"failed","Wed Jul 16 15:01:33 GMT 2025","Wed Jul 16 15:01:35 GMT 2025","1499","","api.APITests","","api.APITests","verifyArticlesCountProperty","Verify 'articlesCount' property is correct",""
"failed","Wed Jul 16 15:01:37 GMT 2025","Wed Jul 16 15:01:37 GMT 2025","234","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticleSchemaShouldFail","Validate Article against Wrong Schema",""
"passed","Wed Jul 16 15:01:36 GMT 2025","Wed Jul 16 15:01:37 GMT 2025","930","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticleSchema","Validate Article Schema",""
"passed","Wed Jul 16 15:01:44 GMT 2025","Wed Jul 16 15:01:47 GMT 2025","3131","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","loginViaAPIAndCheckUsername","Login via API and check username",""
