"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 16 18:59:58 GMT 2025","Wed Jul 16 19:00:01 GMT 2025","2725","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","failTestMustTakeScreenshot","Failed test, must take screenshot",""
"passed","Wed Jul 16 18:59:45 GMT 2025","Wed Jul 16 18:59:46 GMT 2025","140","","api.SchemaValidationTests","","api.SchemaValidationTests","validateTagsSchema","Validate Tags Schema",""
"passed","Wed Jul 16 19:00:04 GMT 2025","Wed Jul 16 19:00:07 GMT 2025","2745","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateMainPageTitle","Verify the main page title is correct",""
"passed","Wed Jul 16 18:59:42 GMT 2025","Wed Jul 16 18:59:43 GMT 2025","485","","api.APITests","","api.APITests","printingAllTheArticles","Printing all the articles",""
"failed","Wed Jul 16 18:59:43 GMT 2025","Wed Jul 16 18:59:44 GMT 2025","1439","","api.APITests","","api.APITests","verifyArticlesCountProperty","Verify 'articlesCount' property is correct",""
"passed","Wed Jul 16 18:59:44 GMT 2025","Wed Jul 16 18:59:45 GMT 2025","250","","api.APITests","","api.APITests","verifyFirstTagInTheTagEndpoint","First tag is named Test",""
"failed","Wed Jul 16 18:59:45 GMT 2025","Wed Jul 16 18:59:45 GMT 2025","626","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticleSchemaShouldFail","Validate Article against Wrong Schema",""
"passed","Wed Jul 16 19:00:01 GMT 2025","Wed Jul 16 19:00:04 GMT 2025","3477","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","loginViaAPIAndCheckUsername","Login via API and check username",""
"passed","Wed Jul 16 18:59:46 GMT 2025","Wed Jul 16 18:59:58 GMT 2025","12534","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateTagsFromUIWithApi","Verify the tags from main UI are the same from API",""
"passed","Wed Jul 16 19:00:07 GMT 2025","Wed Jul 16 19:00:32 GMT 2025","25351","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","createArticleViaAPIAndCheckItOnUI","Create an article via API and Check it on the UI",""
"passed","Wed Jul 16 18:59:36 GMT 2025","Wed Jul 16 18:59:42 GMT 2025","6578","","api.APITests","","api.APITests","validateStatusCodeForTagsIs200","Verify status code for tags is 200",""
"passed","Wed Jul 16 18:59:44 GMT 2025","Wed Jul 16 18:59:44 GMT 2025","0","","api.APITests","","api.APITests","passedNumericTest","Passed numeric test",""
"passed","Wed Jul 16 18:59:45 GMT 2025","Wed Jul 16 18:59:45 GMT 2025","141","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticlesSchema","Validate Articles Schema",""
"passed","Wed Jul 16 18:59:44 GMT 2025","Wed Jul 16 18:59:44 GMT 2025","188","","api.APITests","","api.APITests","verityArticlesLimit","Verify articles limit return correct amount of articles",""
